process_id,process_name,reason
10000,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10005,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10007,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10008,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10012,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10020,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10022,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10023,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10039,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10045,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10084,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10085,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10088,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10108,hid_hook.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10112,hid_hook.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10130,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10132,hid_hook.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10134,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10139,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10148,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10154,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10160,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10165,hid_hook.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10168,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10169,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10174,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10191,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10195,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10196,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10198,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10209,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10217,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10223,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10244,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10247,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10260,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10268,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10281,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10286,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10287,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10292,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10305,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10318,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10319,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10327,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10344,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10346,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10361,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10367,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10397,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10399,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10401,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10406,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10414,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10416,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10431,keystreamer.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10447,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10473,syskey32.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10474,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10475,keycap.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10488,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10492,keylog.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10493,kl_service.exe,"Rule-based: keystroke_hook=1, network_activity=1, low CPU"
10488,keylog.exe,Random Forest classified as keylogger
10022,keylog.exe,Random Forest classified as keylogger
10260,syskey32.exe,Random Forest classified as keylogger
10248,keycap.exe,Random Forest classified as keylogger
10244,keystreamer.exe,Random Forest classified as keylogger
10447,syskey32.exe,Random Forest classified as keylogger
10416,kl_service.exe,Random Forest classified as keylogger
10268,keycap.exe,Random Forest classified as keylogger
10198,keylog.exe,Random Forest classified as keylogger
10139,keylog.exe,Random Forest classified as keylogger
10009,hid_hook.exe,Random Forest classified as keylogger
10349,hid_hook.exe,Random Forest classified as keylogger
10361,kl_service.exe,Random Forest classified as keylogger
10479,keylog.exe,Random Forest classified as keylogger
10406,kl_service.exe,Random Forest classified as keylogger
10286,keycap.exe,Random Forest classified as keylogger
10023,syskey32.exe,Random Forest classified as keylogger
10497,keycap.exe,Random Forest classified as keylogger
10008,keystreamer.exe,Random Forest classified as keylogger
10012,syskey32.exe,Random Forest classified as keylogger
10088,keycap.exe,Random Forest classified as keylogger
10209,keylog.exe,Random Forest classified as keylogger
10195,keylog.exe,Random Forest classified as keylogger
10414,syskey32.exe,Random Forest classified as keylogger
10112,hid_hook.exe,Random Forest classified as keylogger
